=== SHEET: 메뉴구조도 및 기능명세서 ===
 56 | 1D:                          | 2D:                          | 3D:입찰 참여현황                   | 4D:                     | Roles:,,M:○,S:○
 57 | 1D:                          | 2D:                          | 3D:심사/평가                     | 4D:                     | Roles:,,M:○,S:○
 58 | 1D:                          | 2D:                          | 3D:개찰                        | 4D:                     | Roles:,,M:○,S:○
 59 | 1D:                          | 2D:                          | 3D:낙찰(업체선정)                  | 4D:                     | Roles:,,M:○,S:○
 60 | 1D:                          | 2D:                          | 3D:수의시담                      | 4D:                     | Roles:,,M:○,S:○
 61 | 1D:                          | 2D:                          | 3D:계약 요청                     | 4D:                     | Roles:,,M:○,S:○
 62 | 1D:⑧ 계약관리                    | 2D:발주계약 현황                   | 3D:검색/조회                     | 4D:                     | Roles:,O:○,M:○,S:○
 63 | 1D:                          | 2D:                          | 3D:계약 정보                     | 4D:                     | Roles:,O:○,M:○,S:○
 64 | 1D:                          | 2D:                          | 3D:계약 관련 서류                  | 4D:                     | Roles:,O:○,M:○,S:○
 65 | 1D:                          | 2D:                          | 3D:발주계약 요청 정보                | 4D:                     | Roles:,O:○,M:○,S:○
 66 | 1D:                          | 2D:                          | 3D:발주계획 정보                   | 4D:                     | Roles:,O:○,M:○,S:○
 67 | 1D:                          | 2D:                          | 3D:입찰계획 정보/수의계약 계획 정보        | 4D:                     | Roles:,O:○,M:○,S:○
 68 | 1D:⑨ 협력업체 관리                 | 2D:신청/변경 요청 처리               | 3D:                          | 4D:                     | Roles:,,M:○,S:○
 69 | 1D:                          | 2D:협력업체 관리                   | 3D:                          | 4D:                     | Roles:,,M:○,S:○
 70 | 1D:                          | 2D:질문과 답변                    | 3D:                          | 4D:                     | Roles:,,M:○,S:○
 71 | 1D:⑩ 기준정보 관리                 | 2D:공통 품목관리                   | 3D:                          | 4D:                     | Roles:,,M:○,S:○
 72 | 1D:                          | 2D:소싱그룹 관리                   | 3D:                          | 4D:                     | Roles:,,M:○,S:○
 73 | 1D:                          | 2D:공통 심사/평가 관리               | 3D:                          | 4D:                     | Roles:,,M:○,S:○
 74 | 1D:                          | 2D:공통 서류 관리                  | 3D:                          | 4D:                     | Roles:,,M:○,S:○
 75 | 1D:                          | 2D:메일/메시지 발송 내용 관리           | 3D:                          | 4D:                     | Roles:,,M:○,S:○
 76 | 1D:                          | 2D:메일/메시지 발송                 | 3D:                          | 4D:                     | Roles:,,M:○,S:○
 77 | 1D:                          | 2D:메일/메시지 발송현황 조회            | 3D:                          | 4D:                     | Roles:,,M:○,S:○
 78 | 1D:공통관리                      | 2D:관리자 관리                    | 3D:                          | 4D:                     | Roles:,,,S:○
 79 | 1D:                          | 2D:권한그룹 및 메뉴별 권한 관리          | 3D:                          | 4D:                     | Roles:,,,S:○
 80 | 1D:                          | 2D:시스템 권한 관리                 | 3D:                          | 4D:                     | Roles:,,,S:○
 81 | 1D:                          | 2D:접속 아이피(IP) 관리             | 3D:                          | 4D:                     | Roles:,,,S:○
 82 | 1D:                          | 2D:코드관리                      | 3D:                          | 4D:                     | Roles:,,,S:○
 83 | 1D:                          | 2D:로그인 현황                    | 3D:                          | 4D:                     | Roles:,,,S:○
 84 | 1D:                          | 2D:메뉴별 접속현황                  | 3D:                          | 4D:                     | Roles:,,,S:○
 85 | 1D:                          | 2D:거래처 관리                    | 3D:                          | 4D:                     | Roles:,,,S:○
 86 | 1D:                          | 2D:공지사항 관리                   | 3D:                          | 4D:                     | Roles:,,,S:○
 87 | 1D:                          | 2D:양식 등 자료실 관리               | 3D:                          | 4D:                     | Roles:,,,S:○
