=== SHEET: 메뉴(IA)별 기능명세 ===
 44 | No:37  | ID:PMS_BT_01_01       | 1D:                | 2D:                     | 3D:근거리 출장               | 4D:                     | URL:/businesstrip/list/localtrip
 45 | No:38  | ID:PMS_BT_01_02       | 1D:                | 2D:                     | 3D:국내출장/국내교육            | 4D:                     | URL:/businesstrip/list/domestic
 46 | No:39  | ID:PMS_BT_01_03       | 1D:                | 2D:                     | 3D:해외출장/해외교육            | 4D:                     | URL:/businesstrip/list/overseas
 47 | No:40  | ID:PMS_BT_02          | 1D:                | 2D:출장 정산내역              | 3D:                     | 4D:                     | URL:/businesstrip/statistics
 48 | No:41  | ID:PMS_SM_01          | 1D:공통 관리           | 2D:PMS 경영목표 관리          | 3D:                     | 4D:                     | URL:/manage/performance
 49 | No:42  | ID:PMS_SM_02          | 1D:                | 2D:출장 단가 및 기준설정         | 3D:                     | 4D:                     | URL:/businesstrip/settings
 50 | No:43  | ID:PMS_SM_03          | 1D:                | 2D:관리자 관리               | 3D:                     | 4D:                     | URL:/manage/administrator
 51 | No:44  | ID:PMS_SM_04          | 1D:                | 2D:권한그룹 및 메뉴별 권한 관리     | 3D:                     | 4D:                     | URL:/manage/permission
 52 | No:45  | ID:PMS_SM_05          | 1D:                | 2D:시스템 권한 관리            | 3D:                     | 4D:                     | URL:/manage/system
 53 | No:46  | ID:PMS_SM_06          | 1D:                | 2D:접속 아이피(IP) 관리        | 3D:                     | 4D:                     | URL:/manage/ip
 54 | No:47  | ID:PMS_SM_07          | 1D:                | 2D:코드관리                 | 3D:                     | 4D:                     | URL:/manage/Code
 55 | No:48  | ID:PMS_SM_08          | 1D:                | 2D:로그인 현황               | 3D:                     | 4D:                     | URL:/manage/login
 56 | No:49  | ID:PMS_SM_09          | 1D:                | 2D:메뉴별 접속현황             | 3D:                     | 4D:                     | URL:/manage/access
 57 | No:50  | ID:PMS_SM_10          | 1D:                | 2D:EPC사 관리              | 3D:                     | 4D:                     | URL:/manage/epc
 58 | No:51  | ID:PMS_SM_11          | 1D:                | 2D:공지사항 관리              | 3D:                     | 4D:                     | URL:/manage/notice
 59 | No:52  | ID:PMS_SM_12          | 1D:                | 2D:양식 등 자료실 관리          | 3D:                     | 4D:                     | URL:/manage/downloads
